date,Abandoned,Captured,Damaged,Destroyed
2022-02-24,0,18,1,26
2022-02-25,0,7,5,39
2022-02-26,0,32,3,53
2022-02-27,0,63,0,71
2022-02-28,0,50,2,58
2022-03-01,0,45,2,94
2022-03-02,0,39,0,23
2022-03-03,0,41,0,29
2022-03-04,0,24,0,23
2022-03-05,0,35,0,37
2022-03-06,1,41,1,40
2022-03-07,0,11,5,51
2022-03-08,0,17,0,19
2022-03-09,0,6,0,13
2022-03-10,0,26,0,18
2022-03-11,0,12,1,26
2022-03-12,0,12,2,20
2022-03-13,0,20,2,34
2022-03-14,0,14,1,11
2022-03-15,0,14,0,24
2022-03-16,0,18,3,96
2022-03-17,0,17,2,45
2022-03-18,0,15,4,22
2022-03-19,0,19,1,31
2022-03-20,0,48,0,47
2022-03-21,0,13,2,17
2022-03-22,0,14,1,34
2022-03-23,0,12,0,51
2022-03-24,0,16,4,25
2022-03-25,0,7,0,19
2022-03-26,0,12,0,29
2022-03-27,0,26,1,27
2022-03-28,0,18,0,77
2022-03-29,0,12,0,20
2022-03-30,0,6,1,43
2022-03-31,0,89,0,141
2022-04-01,0,48,0,95
2022-04-02,0,42,0,59
2022-04-03,0,31,0,64
2022-04-04,0,28,0,54
2022-04-05,0,18,0,53
2022-04-06,0,8,0,41
2022-04-07,0,21,4,54
2022-04-08,0,3,1,31
2022-04-09,0,8,0,24
2022-04-10,0,4,0,17
2022-04-11,0,8,2,51
2022-04-12,0,7,0,16
2022-04-13,0,6,1,18
2022-04-14,0,8,0,13
2022-04-15,0,1,0,7
2022-04-16,0,2,1,11
2022-04-17,0,14,1,21
2022-04-18,0,3,0,13
2022-04-19,0,10,0,22
2022-04-20,0,5,1,8
2022-04-21,0,3,1,22
2022-04-22,0,10,2,13
2022-04-23,0,1,0,8
2022-04-24,0,1,0,5
2022-04-25,0,0,1,29
2022-04-26,0,1,0,30
2022-04-27,0,2,0,9
2022-04-28,0,2,0,20
2022-04-29,0,4,1,14
2022-04-30,0,3,1,35
2022-05-01,0,2,1,32
2022-05-02,0,1,0,17
2022-05-03,0,7,0,41
2022-05-04,0,0,0,26
2022-05-05,0,7,1,16
2022-05-06,0,2,2,23
2022-05-07,0,4,3,11
2022-05-08,0,6,0,34
2022-05-09,0,6,0,22
2022-05-10,0,6,0,22
2022-05-11,0,4,3,33
2022-05-12,0,18,1,49
2022-05-13,0,5,0,12
2022-05-14,0,1,1,13
2022-05-15,0,3,2,21
2022-05-16,0,2,0,9
2022-05-17,0,4,1,8
2022-05-18,0,6,1,7
2022-05-19,0,3,1,5
2022-05-20,0,3,1,21
2022-05-21,0,3,1,20
2022-05-22,0,0,0,5
2022-05-23,0,1,0,3
2022-05-24,0,3,0,12
2022-05-25,0,1,0,11
2022-05-26,0,0,0,6
2022-05-27,0,0,0,6
2022-05-28,0,1,0,3
2022-05-29,0,0,0,4
2022-05-30,0,1,0,35
2022-05-31,0,6,1,39
2022-06-01,0,5,0,8
2022-06-02,0,2,0,3
2022-06-03,0,2,0,3
2022-06-04,0,0,2,22
2022-06-05,0,1,0,4
2022-06-06,0,2,1,15
2022-06-07,0,1,0,8
2022-06-08,0,0,1,20
2022-06-09,0,1,4,14
2022-06-10,0,1,0,22
2022-06-11,0,0,0,17
2022-06-12,0,0,0,8
2022-06-13,0,0,0,36
2022-06-14,0,2,1,14
2022-06-15,0,1,0,7
2022-06-16,0,1,0,10
2022-06-17,0,3,0,13
2022-06-18,0,0,0,4
2022-06-19,0,1,0,12
2022-06-20,0,0,0,6
2022-06-21,0,0,0,17
2022-06-22,0,1,0,6
2022-06-23,0,5,1,7
2022-06-24,0,0,1,19
2022-06-25,0,2,1,10
2022-06-26,0,0,0,5
2022-06-27,0,1,0,21
2022-06-28,0,2,0,10
2022-06-29,0,2,1,5
2022-06-30,0,4,0,12
2022-07-01,0,2,2,17
2022-07-02,0,4,1,24
2022-07-03,0,1,0,19
2022-07-04,0,0,3,18
2022-07-05,0,4,0,12
2022-07-06,0,0,1,1
2022-07-07,0,4,1,18
2022-07-08,0,4,0,10
2022-07-09,0,2,1,15
2022-07-10,0,0,0,4
2022-07-11,0,1,1,7
2022-07-12,0,2,0,7
2022-07-13,0,1,0,8
2022-07-14,0,0,0,12
2022-07-15,0,4,0,9
2022-07-16,0,0,0,4
2022-07-17,0,1,0,4
2022-07-18,0,0,1,6
2022-07-19,0,0,0,12
2022-07-20,0,1,0,6
2022-07-21,0,0,1,8
2022-07-22,0,0,1,11
2022-07-23,0,1,0,5
2022-07-24,0,0,2,9
2022-07-25,0,2,0,3
2022-07-26,0,2,2,6
2022-07-27,0,2,0,8
2022-07-28,0,2,0,2
2022-07-29,0,3,1,8
2022-07-30,0,2,0,11
2022-07-31,0,4,1,30
2022-08-01,0,4,1,17
2022-08-02,0,3,0,3
2022-08-03,0,1,0,5
2022-08-04,0,1,1,2
2022-08-05,0,2,1,3
2022-08-06,0,2,1,4
2022-08-07,0,0,0,12
2022-08-08,0,1,1,12
2022-08-09,0,1,5,24
2022-08-10,0,2,4,12
2022-08-11,0,2,1,12
2022-08-12,0,1,1,4
2022-08-13,0,1,1,3
2022-08-14,0,0,1,3
2022-08-15,0,1,1,5
2022-08-16,0,1,0,2
2022-08-17,0,1,1,7
2022-08-18,0,1,0,7
2022-08-19,0,0,0,3
2022-08-20,0,0,0,5
2022-08-21,0,2,1,6
2022-08-22,0,2,0,12
2022-08-23,0,2,1,12
2022-08-24,0,0,2,6
2022-08-25,0,9,0,6
2022-08-26,0,3,0,3
2022-08-27,0,0,0,18
2022-08-28,0,2,0,7
2022-08-29,0,1,0,4
2022-08-30,0,1,2,14
2022-08-31,0,5,0,51
2022-09-01,0,0,2,7
2022-09-02,0,1,1,17
2022-09-03,0,4,1,13
2022-09-04,0,4,1,4
2022-09-05,0,9,1,10
2022-09-06,0,5,0,11
2022-09-07,0,18,2,17
2022-09-08,0,29,0,19
2022-09-09,0,42,0,16
2022-09-10,0,30,2,28
2022-09-11,0,100,0,34
2022-09-12,0,64,0,40
2022-09-13,0,47,1,20
2022-09-14,0,58,0,39
2022-09-15,0,28,3,27
2022-09-16,0,23,0,6
2022-09-17,0,19,0,6
2022-09-18,0,17,0,8
2022-09-19,0,13,0,12
2022-09-20,0,7,0,8
2022-09-21,0,15,2,18
2022-09-22,0,16,0,21
2022-09-23,0,13,0,11
2022-09-24,0,10,1,18
2022-09-25,0,5,0,6
2022-09-26,0,10,0,25
2022-09-27,0,21,0,7
2022-09-28,0,13,1,23
2022-09-29,0,11,1,16
2022-09-30,0,23,2,18
2022-10-01,0,12,1,22
2022-10-02,0,21,2,23
2022-10-03,0,25,1,12
2022-10-04,0,28,0,19
2022-10-05,0,31,0,20
2022-10-06,0,20,0,27
2022-10-07,0,21,0,22
2022-10-08,0,18,1,16
2022-10-09,0,16,1,11
2022-10-10,0,14,0,26
2022-10-11,0,10,1,14
2022-10-12,0,14,0,11
2022-10-13,0,3,0,2
2022-10-14,0,18,1,16
2022-10-15,0,4,0,9
2022-10-16,0,4,1,7
2022-10-17,0,4,0,12
2022-10-18,0,6,0,12
2022-10-19,0,9,0,10
2022-10-20,0,6,2,22
2022-10-21,0,10,1,5
2022-10-22,0,5,0,14
2022-10-23,0,7,0,7
2022-10-24,0,9,0,21
2022-10-25,0,4,1,7
2022-10-26,0,8,1,19
2022-10-27,0,3,0,10
2022-10-28,0,5,1,10
2022-10-29,0,7,0,8
