Date,Russia_Total,Ukraine_Total,Russia_Destroyed,Ukraine_Destroyed,Russia_Damaged,Ukraine_Damaged,Russia_Abandoned,Ukraine_Abandoned,Russia_Captured,Ukraine_Captured,Russia_Tanks,Ukraine_Tanks,Russia_AFV,Ukraine_AFV,Russia_IFV,Ukraine_IFV,Russia_APC,Ukraine_APC,Russia_Artillery,Ukraine_Artillery,Russia_Aircraft,Ukraine_Aircraft,Russia_Vehicles,Ukraine_Vehicles,Russia_Antiair,Ukraine_Antiair,Russia_Engineering,Ukraine_Engineering,Russia_Logistics,Ukraine_Logistics,month
2022-02-25,52,59,25,27,5,5,2,10,20,17,1,3,2,0,3,1,0,0,4,0,1,1,10,10,1,2,0,0,0,0,2022-02
2022-02-26,55,29,17,9,1,0,8,21,29,0,5,5,0,8,7,3,0,1,0,2,0,0,18,6,1,1,9,0,11,0,2022-02
2022-02-27,54,8,29,2,0,0,12,4,13,2,2,0,4,3,4,0,6,0,0,0,1,0,29,2,1,0,0,0,0,0,2022-02
2022-02-28,160,51,68,15,1,0,50,3,41,33,32,6,20,8,28,0,8,6,5,3,1,2,42,1,11,2,4,0,4,0,2022-02
2022-03-01,37,4,15,2,1,0,9,1,12,1,3,0,5,1,5,0,0,0,1,0,2,0,9,0,1,0,1,0,2,0,2022-03
2022-03-02,112,15,37,7,0,0,41,4,35,4,11,4,13,0,14,0,10,0,6,2,3,0,45,5,4,0,6,0,8,0,2022-03
2022-03-03,59,14,26,7,1,0,7,0,25,7,10,10,6,2,9,9,4,4,5,1,0,0,15,4,0,1,1,0,3,0,2022-03
2022-03-04,93,21,29,8,1,0,10,1,53,12,26,9,10,1,9,2,5,1,3,0,3,2,27,3,5,0,2,0,3,0,2022-03
2022-03-05,102,28,39,6,1,0,8,0,54,22,15,2,8,7,25,3,8,2,0,1,7,1,20,9,2,1,7,1,7,1,2022-03
2022-03-06,94,16,34,9,0,0,0,0,60,7,13,4,5,1,13,1,8,0,18,1,0,0,31,8,2,0,2,0,2,0,2022-03
2022-03-07,52,4,29,1,0,0,0,0,23,3,17,1,7,0,8,0,5,0,2,0,2,0,6,0,2,0,1,0,1,0,2022-03
2022-03-08,75,22,29,2,3,1,9,0,34,19,15,0,7,3,12,0,0,1,3,9,0,1,35,6,1,1,1,0,1,0,2022-03
2022-03-09,24,3,9,1,0,0,2,0,13,3,5,0,4,0,3,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,2022-03
2022-03-10,40,3,21,1,0,0,0,0,20,2,10,1,5,1,10,1,2,0,2,0,3,0,4,0,4,0,0,0,0,0,2022-03
2022-03-11,95,26,48,18,1,0,14,2,32,6,24,6,10,3,14,12,6,1,2,2,2,3,32,6,2,0,0,0,0,0,2022-03
2022-03-12,32,15,19,5,0,0,1,0,12,10,3,5,0,3,6,1,1,0,2,0,3,0,9,3,2,0,1,0,2,0,2022-03
2022-03-13,13,5,8,1,0,0,2,0,3,4,5,2,1,1,2,0,0,1,0,0,1,0,3,0,0,1,1,0,1,0,2022-03
2022-03-14,113,12,54,8,4,0,21,1,34,3,11,3,16,0,12,2,0,0,2,0,2,0,61,4,0,1,3,0,3,0,2022-03
2022-03-15,46,21,18,5,1,0,12,1,15,15,8,1,8,1,9,2,3,0,5,1,1,1,7,2,2,1,0,0,0,0,2022-03
2022-03-16,49,5,33,1,1,0,3,0,12,4,12,0,4,0,7,0,1,2,1,1,17,1,6,0,0,0,0,0,0,0,2022-03
2022-03-17,109,10,79,7,4,0,5,1,21,2,8,1,10,1,10,1,1,1,4,0,0,1,62,2,1,3,2,0,2,0,2022-03
2022-03-18,66,15,43,9,3,0,7,1,13,5,7,1,13,1,14,4,1,2,3,0,3,1,17,2,3,1,0,0,0,0,2022-03
2022-03-19,49,2,39,2,0,0,2,0,8,0,7,0,2,0,7,1,0,0,1,1,1,0,21,0,0,0,0,0,2,0,2022-03
2022-03-20,78,9,51,7,3,0,0,0,27,2,12,0,8,0,12,3,0,1,4,0,4,2,24,0,4,0,1,0,1,0,2022-03
2022-03-21,3,103,1,25,0,5,1,0,1,85,0,4,0,12,1,3,0,0,1,5,1,0,0,74,0,7,0,0,0,0,2022-03
2022-03-22,42,1,24,0,2,0,0,0,17,1,7,0,6,0,10,0,0,1,9,0,1,0,3,0,0,0,2,0,2,0,2022-03
2022-03-23,46,14,30,7,0,1,2,0,14,6,7,2,11,1,5,0,0,0,2,0,3,1,20,8,1,0,0,0,0,0,2022-03
