date,Tanks,Armoured Personnel Carriers,Field Artillery,Multiple Rocket Launchers,Drones,Aircraft,Helicopters,Naval Ships,Anti-Aircraft Systems,Special Equipment
2022-02-25,80,516,49,4,0,10,7,2,0,0
2022-02-26,66,190,0,0,2,17,19,0,0,0
2022-02-27,4,0,1,0,0,0,0,0,0,0
2022-02-28,0,110,24,17,1,2,3,0,5,0
2022-03-01,48,30,3,3,0,0,0,0,2,0
2022-03-02,13,16,8,16,0,1,2,0,2,0
2022-03-03,6,38,5,2,0,0,0,0,2,0
2022-03-04,34,39,15,8,0,3,6,0,7,0
2022-03-05,18,6,0,0,0,6,3,0,1,0
2022-03-06,16,40,4,0,1,5,8,0,2,0
2022-03-07,5,14,8,0,3,2,20,1,2,0
2022-03-08,13,37,3,6,0,2,12,0,4,0
2022-03-09,14,34,0,0,0,1,1,0,1,0
2022-03-10,18,35,3,0,0,0,0,0,1,0
2022-03-11,18,60,2,2,0,8,2,0,2,0
2022-03-12,9,40,10,4,0,1,0,0,2,0
2022-03-13,12,21,5,0,0,16,3,0,1,0
2022-03-14,15,23,10,2,1,3,4,0,0,0
2022-03-15,15,30,0,0,1,4,5,0,2,0
2022-03-16,26,96,40,6,2,3,13,0,7,10
2022-03-17,14,60,11,2,0,2,0,0,0,0
2022-03-18,6,13,4,0,1,7,4,0,0,1
2022-03-19,16,22,8,0,5,2,3,0,1,0
2022-03-20,10,17,17,2,4,1,3,0,0,1
2022-03-21,22,48,10,6,3,1,3,0,1,1
2022-03-22,11,21,12,0,11,2,2,0,0,2
2022-03-23,8,22,15,0,7,2,1,1,2,0
2022-03-24,13,19,13,2,8,7,0,0,0,1
2022-03-25,31,28,11,8,3,7,1,1,2,2
2022-03-26,14,15,2,1,3,2,2,2,2,1
2022-03-27,7,24,1,2,0,4,0,0,1,2
2022-03-28,4,30,8,2,10,2,0,0,2,0
2022-03-29,11,16,1,1,5,4,2,0,0,0
2022-03-30,8,13,2,0,10,4,2,0,0,0
2022-03-31,9,12,6,0,2,4,0,0,0,1
2022-04-01,11,16,5,0,2,8,0,0,0,2
2022-04-02,6,25,1,4,2,0,3,0,0,0
2022-04-03,13,54,8,5,2,0,0,0,0,0
2022-04-04,3,14,5,2,2,4,0,0,0,1
2022-04-05,29,14,2,0,3,3,0,0,1,0
2022-04-06,8,3,0,0,2,0,1,0,0,0
2022-04-07,14,30,0,1,15,0,0,0,0,0
2022-04-08,2,0,1,0,1,0,0,0,0,0
2022-04-09,5,4,2,0,0,1,1,0,0,0
2022-04-10,17,16,7,0,0,1,1,0,0,0
2022-04-11,3,12,5,3,7,2,0,0,0,0
2022-04-12,7,23,2,0,5,3,3,0,8,0
2022-04-13,7,18,9,4,8,1,3,0,1,0
2022-04-14,14,4,8,7,2,2,1,0,0,0
2022-04-15,3,8,0,0,1,3,0,1,2,0
2022-04-16,6,6,5,3,3,0,1,0,0,1
2022-04-17,11,20,5,2,10,2,1,0,0,1
2022-04-18,17,39,5,3,7,2,1,0,1,0
2022-04-19,12,22,5,2,3,2,3,0,0,0
2022-04-20,13,24,5,4,7,2,0,0,0,0
2022-04-21,14,31,2,0,1,1,1,0,0,0
2022-04-22,9,44,4,2,6,4,2,0,2,0
2022-04-23,16,43,6,5,10,1,1,0,0,0
2022-04-24,19,33,5,4,9,2,0,0,0,1
2022-04-25,11,20,3,2,10,2,0,0,0,0
2022-04-26,34,50,5,0,4,3,0,0,0,3
2022-04-27,21,34,5,0,2,1,1,0,2,0
2022-04-28,31,47,10,2,8,2,0,0,1,0
2022-04-29,16,29,4,0,14,2,0,0,1,0
2022-04-30,22,27,1,0,3,1,0,0,4,1
2022-05-01,18,26,15,0,13,2,0,0,3,0
2022-05-02,22,48,8,1,26,2,0,0,0,6
2022-05-03,14,48,16,10,20,0,0,2,0,0
2022-05-04,15,43,16,1,12,0,0,0,1,0
2022-05-05,15,41,8,6,9,2,0,0,2,0
2022-05-06,18,35,3,2,12,3,0,1,0,0
2022-05-07,12,27,7,1,17,0,0,0,1,0
2022-05-08,8,28,0,7,19,0,1,1,2,1
2022-05-09,15,23,4,6,17,0,2,0,1,2
2022-05-10,25,44,6,0,3,0,0,0,0,0
2022-05-11,17,48,9,0,10,0,2,0,0,0
2022-05-12,8,17,6,6,8,0,1,1,0,0
2022-05-13,10,27,8,2,7,1,1,0,1,0
2022-05-14,13,34,9,2,6,0,1,0,0,1
2022-05-15,2,24,4,0,5,0,1,0,1,0
2022-05-16,8,16,22,0,11,0,1,0,0,0
2022-05-17,7,35,1,3,9,1,2,0,1,1
2022-05-18,16,34,8,1,5,1,0,0,1,0
2022-05-19,3,20,9,0,14,1,0,0,2,0
2022-05-20,9,27,1,1,5,1,1,0,0,0
2022-05-21,15,26,0,1,2,0,1,0,0,0
