date,total_losses,phase
2022-02-24,45,Phase 1: Initial Invasion (2022.2-4)
2022-02-25,51,Phase 1: Initial Invasion (2022.2-4)
2022-02-26,88,Phase 1: Initial Invasion (2022.2-4)
2022-02-27,134,Phase 1: Initial Invasion (2022.2-4)
2022-02-28,110,Phase 1: Initial Invasion (2022.2-4)
2022-03-01,141,Phase 1: Initial Invasion (2022.2-4)
2022-03-02,62,Phase 1: Initial Invasion (2022.2-4)
2022-03-03,70,Phase 1: Initial Invasion (2022.2-4)
2022-03-04,47,Phase 1: Initial Invasion (2022.2-4)
2022-03-05,72,Phase 1: Initial Invasion (2022.2-4)
2022-03-06,83,Phase 1: Initial Invasion (2022.2-4)
2022-03-07,67,Phase 1: Initial Invasion (2022.2-4)
2022-03-08,36,Phase 1: Initial Invasion (2022.2-4)
2022-03-09,19,Phase 1: Initial Invasion (2022.2-4)
2022-03-10,44,Phase 1: Initial Invasion (2022.2-4)
2022-03-11,39,Phase 1: Initial Invasion (2022.2-4)
2022-03-12,34,Phase 1: Initial Invasion (2022.2-4)
2022-03-13,56,Phase 1: Initial Invasion (2022.2-4)
2022-03-14,26,Phase 1: Initial Invasion (2022.2-4)
2022-03-15,38,Phase 1: Initial Invasion (2022.2-4)
2022-03-16,117,Phase 1: Initial Invasion (2022.2-4)
2022-03-17,64,Phase 1: Initial Invasion (2022.2-4)
2022-03-18,41,Phase 1: Initial Invasion (2022.2-4)
2022-03-19,51,Phase 1: Initial Invasion (2022.2-4)
2022-03-20,95,Phase 1: Initial Invasion (2022.2-4)
2022-03-21,32,Phase 1: Initial Invasion (2022.2-4)
2022-03-22,49,Phase 1: Initial Invasion (2022.2-4)
2022-03-23,63,Phase 1: Initial Invasion (2022.2-4)
2022-03-24,45,Phase 1: Initial Invasion (2022.2-4)
2022-03-25,26,Phase 1: Initial Invasion (2022.2-4)
2022-03-26,41,Phase 1: Initial Invasion (2022.2-4)
2022-03-27,54,Phase 1: Initial Invasion (2022.2-4)
2022-03-28,95,Phase 1: Initial Invasion (2022.2-4)
2022-03-29,32,Phase 1: Initial Invasion (2022.2-4)
2022-03-30,50,Phase 1: Initial Invasion (2022.2-4)
2022-03-31,230,Phase 1: Initial Invasion (2022.2-4)
2022-04-01,143,Phase 1: Initial Invasion (2022.2-4)
2022-04-02,101,Phase 1: Initial Invasion (2022.2-4)
2022-04-03,95,Phase 1: Initial Invasion (2022.2-4)
2022-04-04,82,Phase 1: Initial Invasion (2022.2-4)
2022-04-05,71,Phase 1: Initial Invasion (2022.2-4)
2022-04-06,49,Phase 1: Initial Invasion (2022.2-4)
2022-04-07,79,Phase 1: Initial Invasion (2022.2-4)
2022-04-08,35,Phase 1: Initial Invasion (2022.2-4)
2022-04-09,32,Phase 1: Initial Invasion (2022.2-4)
2022-04-10,21,Phase 1: Initial Invasion (2022.2-4)
2022-04-11,61,Phase 1: Initial Invasion (2022.2-4)
2022-04-12,23,Phase 1: Initial Invasion (2022.2-4)
2022-04-13,25,Phase 1: Initial Invasion (2022.2-4)
2022-04-14,21,Phase 1: Initial Invasion (2022.2-4)
2022-04-15,8,Phase 1: Initial Invasion (2022.2-4)
2022-04-16,14,Phase 1: Initial Invasion (2022.2-4)
