month,RU_Total,UA_Total,RU_Tanks,UA_Tanks,RU_Artillery,UA_Artillery,Ratio
2022-02,321,147,40,14,9,5,2.183673469387755
2022-03,1826,509,311,72,100,37,3.587426326129666
2022-04,1164,296,249,58,52,9,3.9324324324324325
2022-05,880,169,155,43,20,15,5.207100591715976
2022-06,336,79,88,12,20,10,4.253164556962025
2022-07,535,193,125,33,23,16,2.772020725388601
2022-08,384,150,82,16,74,26,2.56
2022-09,1181,136,244,31,88,5,8.683823529411764
2022-10,1100,463,230,70,78,32,2.375809935205184
2022-11,622,262,107,40,67,28,2.3740458015267176
2022-12,449,323,90,68,27,24,1.390092879256966
2023-01,448,216,76,15,39,29,2.074074074074074
2023-02,500,145,124,23,41,19,3.4482758620689653
2023-03,491,145,131,22,42,31,3.386206896551724
2023-04,240,111,39,13,29,16,2.1621621621621623
2023-05,434,251,93,18,49,27,1.7290836653386454
2023-06,407,307,84,49,49,15,1.3257328990228012
2023-07,583,296,107,38,63,30,1.9695945945945945
2023-08,433,259,89,36,62,38,1.6718146718146718
2023-09,395,185,61,28,48,14,2.135135135135135
2023-10,590,176,108,32,70,25,3.352272727272727
2023-11,389,112,103,16,32,18,3.4732142857142856
2023-12,500,152,111,31,39,22,3.289473684210526
2024-01,475,181,90,18,27,18,2.6243093922651934
2024-02,448,189,94,13,29,20,2.3703703703703702
2024-03,499,187,109,34,36,21,2.6684491978609626
2024-04,459,168,85,23,26,25,2.732142857142857
2024-05,576,236,141,36,33,26,2.440677966101695
2024-06,584,193,103,25,38,17,3.0259067357512954
2024-07,495,167,107,20,38,22,2.964071856287425
2024-08,434,219,60,30,42,18,1.9817351598173516
2024-09,547,253,79,38,21,18,2.1620553359683794
2024-10,630,245,94,20,19,21,2.5714285714285716
2024-11,520,208,85,17,13,12,2.5
2024-12,413,277,74,35,12,10,1.4909747292418774
2025-01,436,340,54,45,37,20,1.2823529411764707
2025-02,410,251,75,28,27,18,1.6334661354581674
2025-03,392,400,54,33,16,36,0.98
2025-04,605,392,115,41,31,33,1.5433673469387754
2025-05,435,289,85,36,33,30,1.505190311418685
2025-06,257,228,30,14,15,27,1.1271929824561404
2025-07,207,248,23,25,16,25,0.8346774193548387
2025-08,201,197,31,24,27,14,1.0203045685279188
2025-09,276,284,40,33,22,33,0.971830985915493
2025-10,398,305,59,27,29,30,1.3049180327868852
2025-11,244,349,39,22,10,39,0.6991404011461319
2025-12,261,309,53,32,6,38,0.8446601941747572
2026-01,221,319,30,17,5,14,0.6927899686520376
2026-02,143,195,16,5,5,29,0.7333333333333333
2026-03,247,314,30,16,12,41,0.7866242038216561
2026-04,104,273,18,14,3,27,0.38095238095238093
2026-05,117,178,9,5,13,29,0.6573033707865169
2026-06,0,0,0,0,0,0,
