id,date,type,model,status,lost_by,nearest_location,geo,latitude,longitude,unit,tags,comment,sources,photos
602,2022-02-24,Tanks,T-80BVM,Destroyed,Russia,"Kharkiv, Kharkiv raion","50.0549042,36.3615697",50.0549042,36.3615697,71st Guards Motor Rifle Division (ex-200th Brigade),"Turretless, Mine plow/roller",,,
954,2022-02-24,Infantry fighting vehicles,MT-LBVM(K),Destroyed,Russia,"Kharkiv, Kharkiv raion","50.054933,36.360974",50.054933,36.360974,68th Motor Rifle Division (ex-25th Brigade),,,,
1039,2022-02-24,Anti-aircraft systems,MT-LB(V) with ZU-23 AA gun,Destroyed,Russia,"Preobrazhenka, Skadovsk raion","46.191390,33.653860",46.19139,33.65386,,"Z, ⧸",,,
1367,2022-02-24,Infantry fighting vehicles,BMP-2(K),Destroyed,Russia,"Rivnopillia, Chernihiv raion","51.6151,31.22244",51.6151,31.22244,74th Separate Guards Motor Rifle Brigade,"Turretless, O",,,
1590,2022-02-24,Infantry fighting vehicles,BMP-2(K),Captured,Russia,"Shchastia, Shchastia raion","48.741018,39.229218",48.741018,39.229218,,Z,,,
2251,2022-02-24,Infantry mobility vehicles,KamAZ-63968 'Typhoon-K',Captured,Russia,"Okhtyrka, Okhtyrka raion","50.312451,34.864655",50.312451,34.864655,96th Separate Reconnaissance Brigade,,,,
2272,2022-02-24,Infantry mobility vehicles,ASN-233115 'Tigr-M SpN',Destroyed,Russia,"Alisivka, Kharkiv raion","50.270580,36.285770",50.27058,36.28577,,,,,
2273,2022-02-24,Infantry mobility vehicles,ASN-233115 'Tigr-M SpN',Destroyed,Russia,"Rivnopillia, Chernihiv raion","51.6164,31.22163",51.6164,31.22163,74th Separate Guards Motor Rifle Brigade,Flipped,,,
2274,2022-02-24,Engineering,MTP-A2.1 recovery vehicle,Destroyed,Russia,"Rivnopillia, Chernihiv raion","51.6164,31.22163",51.6164,31.22163,74th Separate Guards Motor Rifle Brigade,,,,
2374,2022-02-24,Infantry mobility vehicles,Iveco LMV,Captured,Russia,"Chernechchyna, Okhtyrka raion","50.31875,34.782028",50.31875,34.782028,96th Separate Reconnaissance Brigade,,,,
2401,2022-02-24,"Command posts, communication",R-149MA1 command and staff vehicle,Captured,Russia,Kharkiv oblast,,,,,"Z, ☐",,,
2427,2022-02-24,"Command posts, communication",MSh-5350.1 command vehicle,Captured,Russia,"Okhtyrka, Okhtyrka raion","50.312331,34.865166",50.312331,34.865166,96th Separate Reconnaissance Brigade,"KUNG, Additional armour",,,
2545,2022-02-24,Engineering,TMM-3 bridge layer,Captured,Russia,"Okhtyrka, Okhtyrka raion","50.29496,34.88862",50.29496,34.88862,423rd Motor Rifle Regiment,,,,
2612,2022-02-24,Engineering,EOV-3523 (KamAZ 6x6) excavator,Captured,Russia,"Okhtyrka, Okhtyrka raion","50.29504,34.88867",50.29504,34.88867,423rd Motor Rifle Regiment,,,,
2628,2022-02-24,Anti-tank systems,9P149 combat vehicle (for 9K114 'Shturm-S'),Captured,Russia,"Konotop, Konotop raion","51.25051664748468,33.22266558103727",51.25051664748468,33.22266558103727,,"O, Damaged",,,
2852,2022-02-24,Rocket and missile artillery,122mm 2B17 BM-21-1 (for 9K51 'Grad'),Destroyed,Russia,"Lisne, Kharkiv raion","50.093500,36.263194",50.0935,36.263194,71st Guards Motor Rifle Division (ex-200th Brigade),"Z, ☐",,,
2863,2022-02-24,Rocket and missile artillery,122mm 2B17 BM-21-1 (for 9K51 'Grad'),Destroyed,Russia,"Lisne, Kharkiv raion","50.095162,36.265003",50.095162,36.265003,71st Guards Motor Rifle Division (ex-200th Brigade),"Z, ☐",,,
2902,2022-02-24,Rocket and missile artillery,122mm 2B17 BM-21-1 (for 9K51 'Grad'),Captured,Russia,"Lisne, Kharkiv raion","50.093798,36.263415",50.093798,36.263415,71st Guards Motor Rifle Division (ex-200th Brigade),"Z, Damaged, ☐",,,
3023,2022-02-24,Anti-aircraft systems,9A331M TLAR (for 9K332 'Tor-M2'),Destroyed,Russia,"Preobrazhenka, Skadovsk raion","46.191417,33.653917",46.191417,33.653917,,Z,,,
3084,2022-02-24,Airplanes,An-26 transport aircraft,Destroyed,Russia,"Uryv-Pokrovka, Ostrogozhsk raion","51.0986,39.14532",51.0986,39.14532,30th Separate Transport Mixed Aviation Regiment,Shattered,,,
3098,2022-02-24,Helicopters,Mi-24P attack helicopter,Destroyed,Russia,"Vyshhorod, Vyshhorod raion","50.610377,30.514823",50.610377,30.514823,17th Guards Army Aviation Brigade,"Shattered, Underwater",,,
3104,2022-02-24,Helicopters,Mi-24VM (Mi-35M) attack helicopter,Destroyed,Russia,Kyiv oblast,,,,16th Army Aviation Brigade,"Shattered, V, Underwater",,,
3125,2022-02-24,Helicopters,Ka-52 'Alligator' attack helicopter,Destroyed,Russia,"Hostomel, Bucha raion","50.59318,30.21376",50.59318,30.21376,319th Separate Helicopter Regiment,Shattered,,,
3128,2022-02-24,Helicopters,Ka-52 'Alligator' attack helicopter,Captured,Russia,"Hostomel, Bucha raion","50.57404,30.19306",50.57404,30.19306,18th Army Aviation Brigade,"V, Damaged",,,
3469,2022-02-24,Transport,Ural-4320,Captured,Russia,"Okhtyrka, Okhtyrka raion",,,,423rd Motor Rifle Regiment,,,,
3670,2022-02-24,"Command posts, communication",AShT-4310 topographic command and staff vehicle,Destroyed,Russia,"Okhtyrka, Okhtyrka raion","50.31167,34.93246",50.31167,34.93246,,KUNG,,,
3827,2022-02-24,Transport,KamAZ 6x6,Destroyed,Russia,"Lisne, Kharkiv raion","50.094139,36.263593",50.094139,36.263593,71st Guards Motor Rifle Division (ex-200th Brigade),Shattered,,,
3880,2022-02-24,Anti-aircraft systems,KamAZ 6x6 with ZU-23 AA gun,Captured,Russia,"Kharkiv, Kharkiv raion","50.054355,36.360811",50.054355,36.360811,Rosgvardiya,"Z, ☐",,,
3901,2022-02-24,Transport,KamAZ 6x6,Captured,Russia,"Okhtyrka, Okhtyrka raion","50.31153,34.93544",50.31153,34.93544,4th Guards Tank Division,,,,
3948,2022-02-24,"Command posts, communication",SA-14RM/SM encryption command post,Captured,Russia,"Okhtyrka, Okhtyrka raion","50.312333,34.915306",50.312333,34.915306,96th Separate Reconnaissance Brigade,"KUNG, Additional armour",,,
4290,2022-02-24,Transport,KamAZ 6x6,Destroyed,Russia,"Lisne, Kharkiv raion","50.094313,36.263719",50.094313,36.263719,71st Guards Motor Rifle Division (ex-200th Brigade),Shattered,,,
6078,2022-02-24,Infantry mobility vehicles,ASN-233115 'Tigr-M SpN',Damaged,Russia,"Kharkiv, Kharkiv raion",,,,,"Z, ☐",,,
6082,2022-02-24,Engineering,IMR-2(M) combat engineering vehicle,Destroyed,Russia,"Snovsk, Koriukivka raion","51.80490,31.96390",51.8049,31.9639,,,,,
6336,2022-02-24,Infantry mobility vehicles,UAZ-394511 'Esaul',Destroyed,Russia,Kyiv oblast,,,,Rosgvardiya,,,,
6600,2022-02-24,Transport,KamAZ 6x6,Captured,Russia,"Okhtyrka, Okhtyrka raion","50.31168090503014,34.935600304335054",50.31168090503014,34.935600304335054,27th Separate Guards Motor Rifle Brigade,"O, Damaged",,,
6910,2022-02-24,Infantry fighting vehicles,MT-LBVM(K),Destroyed,Russia,"Kharkiv, Kharkiv raion","50.054334,36.360510",50.054334,36.36051,68th Motor Rifle Division (ex-25th Brigade),"Z, ☐",,,
6911,2022-02-24,Infantry fighting vehicles,MT-LBVM(K),Destroyed,Russia,"Kharkiv, Kharkiv raion","50.054143,36.360185",50.054143,36.360185,68th Motor Rifle Division (ex-25th Brigade),"Z, ☐",,,
7095,2022-02-24,Transport,KamAZ 6x6,Destroyed,Russia,"Lisne, Kharkiv raion","50.094211,36.263659",50.094211,36.263659,71st Guards Motor Rifle Division (ex-200th Brigade),Shattered,,,
7407,2022-02-24,"Command posts, communication",R-149MA1 command and staff vehicle,Destroyed,Russia,"Liubymivka, Kakhovka raion","46.780108183536385,33.58799011497186",46.78010818353639,33.58799011497186,,,,,
12206,2022-02-24,Infantry fighting vehicles,MT-LBVM(K),Destroyed,Russia,Kharkiv oblast,,,,,"Z, ☐",,,
12716,2022-02-24,Transport,Ural-4320,Destroyed,Russia,"Ivankiv, Vyshhorod raion","50.9277,29.8728",50.9277,29.8728,,V,,,
28309,2022-02-24,Transport,Ural-4320,Destroyed,Russia,"Okhtyrka, Okhtyrka raion","50.308893,34.879350",50.308893,34.87935,,,,,
29241,2022-02-24,Engineering,KMV-10V crane,Captured,Russia,"Okhtyrka, Okhtyrka raion","50.311056,34.944889",50.311056,34.944889,,,,,
38505,2022-02-24,Infantry fighting vehicles,MT-LB(V) with hydraulic dozer blade,Captured,Russia,"Soldatske, Okhtyrka raion","50.419978,35.206466",50.419978,35.206466,13th Guards Tank Regiment,,,,
42827,2022-02-24,Engineering,BAT-2(M) heavy engineering vehicle,Captured,Russia,"Tarasivka, Okhtyrka raion","50.463693,35.292062",50.463693,35.292062,12th Guards Tank Regiment,,,,
217,2022-02-25,Tanks,T-72B Obr. 1989,Destroyed,Russia,"Polubotky, Chernihiv raion","51.57414,31.24478",51.57414,31.24478,,Turretless,,,
312,2022-02-25,Tanks,T-72B Obr. 1989,Damaged,Russia,"Tokmak, Polohy raion","47.262945,35.710239",47.262945,35.710239,,Cope cage,,,
365,2022-02-25,Tanks,T-72B3,Captured,Russia,"Polubotky, Chernihiv raion","51.57423,31.24443",51.57423,31.24443,74th Separate Guards Motor Rifle Brigade,"O, Damaged",,,
486,2022-02-25,Tanks,T-80BV,Destroyed,Russia,"Trostianets, Okhtyrka raion","50.45074,34.95249",50.45074,34.95249,423rd Motor Rifle Regiment,Turretless,,,
857,2022-02-25,Infantry fighting vehicles,MT-LB(V) with hydraulic dozer blade,Destroyed,Russia,"Konotop, Konotop raion","51.268058,33.173111",51.268058,33.173111,,O,,,
1054,2022-02-25,"Command posts, communication",R-149BMRg command and staff vehicle,Destroyed,Russia,"Konotop, Konotop raion","51.24935554119352,33.22148118650365",51.24935554119352,33.22148118650365,,O,,,
1373,2022-02-25,Infantry fighting vehicles,BMP-2(K),Destroyed,Russia,"Horodnia, Chernihiv raion","51.87338,31.57528",51.87338,31.57528,,Turretless,,,
2186,2022-02-25,Infantry fighting vehicles,BTR-D,Destroyed,Russia,"Dymer, Vyshhorod raion","50.78576,30.27426",50.78576,30.27426,VDV (Russian Airborne Forces),V,,,
2189,2022-02-25,Infantry fighting vehicles,BTR-D,Destroyed,Russia,"Antonivka, Kherson raion","46.67729,32.71768",46.67729,32.71768,11th Separate Guards Air Assault Brigade,⧸,,,
