replicate,rho_raw,rho_bias_corrected
1,1.827396,1.18639
2,2.181039,1.2507
3,2.61433,3.697139
4,2.218648,1.785896
5,1.876582,1.621963
6,2.250025,0.911617
7,2.394722,2.539626
8,1.649806,1.184625
9,1.609426,1.35638
10,2.421017,3.63558
11,2.136513,1.556398
12,2.18367,2.007699
13,2.303382,2.45269
14,2.068054,0.677367
15,2.079318,1.121682
16,1.953237,1.718907
17,2.505417,2.353062
18,2.001652,2.35331
19,1.588076,0.964168
20,2.267779,1.999946
21,1.892002,0.828407
22,1.935407,1.103669
23,1.836871,0.694288
24,2.188026,1.278217
25,1.879005,0.633029
26,2.434266,1.201769
27,2.197292,1.470769
28,2.04134,0.677366
29,1.690474,1.401814
30,2.242416,1.482312
31,1.992728,1.402018
32,1.954228,2.791894
33,1.647389,1.788608
34,2.068235,1.674966
35,2.562372,1.622359
36,2.44103,1.587987
37,2.373606,1.789014
38,2.501169,1.909951
39,1.831926,1.421814
40,2.337665,1.824371
41,2.331148,1.580842
42,2.262492,1.790704
43,1.652913,0.818284
44,2.012558,2.789059
45,2.103766,1.778231
46,2.237628,2.167529
47,2.169712,1.072886
48,2.246059,1.282188
49,2.24069,2.035605
50,2.047213,1.413161
51,2.3143,1.013089
52,2.383107,1.952389
53,2.758749,2.379502
54,1.690705,0.439877
55,1.918069,2.803024
56,2.582119,1.382987
57,2.420893,1.700486
58,2.188677,0.996968
59,1.690912,1.361811
60,2.032883,1.246737
61,2.226055,1.541093
62,1.971233,2.10575
63,2.172921,2.704683
64,1.778936,2.068269
65,2.03392,2.352399
66,2.358957,1.517176
67,2.086302,1.828747
68,2.120294,0.799549
69,1.997968,2.220586
70,1.894621,0.939575
71,1.908185,2.142787
72,2.133021,2.610439
73,1.699096,1.127221
74,2.028962,1.976563
75,2.544281,2.078949
76,2.036245,4.630822
77,2.732463,2.376743
78,2.322442,1.623548
79,2.065428,1.705612
80,1.974031,0.939813
81,2.184954,1.485548
82,2.01859,2.0195
83,2.786237,2.292136
84,2.303192,1.918986
85,2.062806,1.080412
86,2.048723,1.864855
