Category,lambda_hat,se,n_days,total
Overall (WarSpotting),14.714926329276105,0.09709069156737003,1561,22970
Phase: Phase 1: Initial Invasion (2022.2-4),53.378787878787875,0.8993161364697999,66,3523
Phase: Phase 2: Donbas Offensive (2022.5-8),15.016260162601625,0.3494043731210455,123,1847
Phase: Phase 3: Counteroffensive (2022.9-12),24.75409836065574,0.45044693980439626,122,3020
Phase: Phase 4: Bakhmut/Winter (2023.1-5),10.006622516556291,0.25742770497452727,151,1511
Phase: Phase 5: Summer 2023 (2023.6-9),12.704918032786885,0.322705240738189,122,1550
Phase: Phase 6: Avdiivka Campaign (2023.10-2024.2),14.032894736842104,0.30384482207251284,152,2133
Phase: Phase 7: Spring 2024 (2024.3-7),17.647058823529413,0.3396178054056622,153,2700
Phase: Phase 8: Kursk & Eastern Front (2024.8-12),17.26143790849673,0.3358866707850875,153,2641
Phase: Phase 9: Recent (2025.1-2026.6),7.79383429672447,0.1225439585060335,519,4045
Type: Infantry fighting vehicles,5.597693786034593,0.05988294040000919,1561,8738
Type: Transport,2.811018577834721,0.04243560579546238,1561,4388
Type: Tanks,2.574631646380525,0.040612161077759036,1561,4019
Type: Self-propelled artillery,0.6354900704676489,0.020176829914187858,1561,992
Type: Drones,0.5221012171684818,0.01828840797388879,1561,815
Type: Engineering,0.4208840486867393,0.01642025063161601,1561,657
Type: Infantry mobility vehicles,0.3709160794362588,0.015414746208220326,1561,579
Type: Rocket and missile artillery,0.36707238949391413,0.015334669062890228,1561,573
Type: Anti-aircraft systems,0.35938500960922487,0.015173246998497132,1561,561
Type: Towed artillery,0.3023702754644459,0.013917720039974652,1561,472
"Type: Command posts, communication",0.2517616912235746,0.012699697374502888,1561,393
"Type: Radars, jammers",0.1268417680973735,0.009014251940724081,1561,198
Type: Other,0.10762331838565023,0.008303319280471315,1561,168
Type: Helicopters,0.08584240871236387,0.007415654646246141,1561,134
Type: Airplanes,0.0800768737988469,0.00716229332959574,1561,125
"Type: Ambulances, medical vehicles",0.051889814221652786,0.005765534913516977,1561,81
