grid_1deg,loss_count
"(48, 37)",3019
"(47, 37)",1694
"(49, 37)",1636
"(48, 38)",1325
"(47, 36)",821
"(49, 38)",783
"(50, 30)",514
"(47, 35)",510
"(50, 36)",478
"(51, 35)",418
"(46, 32)",383
"(50, 29)",245
"(46, 33)",236
"(47, 33)",227
"(50, 31)",205
"(51, 34)",197
"(50, 34)",193
"(49, 36)",174
"(51, 31)",167
"(50, 32)",138
"(47, 32)",93
"(48, 36)",70
"(51, 29)",69
"(50, 37)",46
"(50, 35)",46
"(45, 33)",33
"(46, 36)",26
"(45, 30)",25
"(47, 38)",23
"(44, 33)",20
"(51, 33)",18
"(51, 32)",16
"(48, 39)",15
"(47, 31)",15
"(52, 32)",15
"(46, 35)",12
"(46, 31)",12
"(47, 34)",11
"(51, 36)",11
"(52, 103)",11
"(50, 33)",10
"(50, 38)",8
"(51, 30)",8
"(45, 34)",8
"(45, 32)",7
"(45, 35)",7
"(46, 38)",6
"(57, 28)",5
"(68, 33)",5
"(46, 34)",4
