location_area,loss_count,share_all_records
Pokrovsk raion,3252,0.1416
Unknown,1490,0.0649
Bakhmut raion,1370,0.0596
Volnovakha raion,1323,0.0576
Donetsk oblast,1180,0.0514
Siverskodonetsk raion,1061,0.0462
Kharkiv oblast,1053,0.0458
Izium raion,979,0.0426
Kherson oblast,801,0.0349
Kramatorsk raion,782,0.034
Polohy raion,733,0.0319
Kupiansk raion,638,0.0278
Svatove raion,524,0.0228
Bucha raion,523,0.0228
Luhansk oblast,499,0.0217
Kherson raion,408,0.0178
Zaporizhzhia oblast,363,0.0158
Sudzha raion,362,0.0158
Beryslav raion,355,0.0155
Kharkiv raion,352,0.0153
Kursk oblast,280,0.0122
East Ukraine,269,0.0117
Donetsk raion,261,0.0114
Nizhyn raion,205,0.0089
Chuhuiv raion,203,0.0088
Chernihiv oblast,188,0.0082
Chernihiv raion,186,0.0081
Vyshhorod raion,180,0.0078
Korenevo raion,173,0.0075
Okhtyrka raion,154,0.0067
Mykolaiv oblast,147,0.0064
Bashtanka raion,133,0.0058
Kakhovka raion,131,0.0057
Mariupol raion,131,0.0057
Hostomel,129,0.0056
Vasylivka raion,120,0.0052
Brovary raion,114,0.005
Sumy oblast,103,0.0045
Mykolaiv raion,101,0.0044
Pryluky raion,101,0.0044
South Ukraine,95,0.0041
Sumy raion,93,0.004
Kyiv oblast,85,0.0037
Chornobaivka,81,0.0035
Horlivka raion,74,0.0032
Shebekino raion,64,0.0028
Glushkovo raion,63,0.0027
Belgorod oblast,61,0.0027
Alchevsk raion,57,0.0025
Belgorod raion,56,0.0024
