Type 1,Type 2,n1,n2,total1,total2,lambda1,lambda2,rate_ratio,diff,diff_ci,e_test_pval,lrt_stat,lrt_pval
Tanks,Infantry fighting vehicles,1561,1561,4019,8738,2.574631646380525,5.597693786034593,0.45994506752117187,-3.0230621396540682,"(np.float64(-3.164878862742623), np.float64(-2.8812454165655135))",0.0,1787.7915731100838,0.0
Tanks,Self-propelled artillery,1561,1561,4019,992,2.574631646380525,0.6354900704676489,4.051411290322581,1.9391415759128763,"(np.float64(1.8502592584381985), np.float64(2.028023893387554))",0.0,1960.0984563612774,0.0
Tanks,Towed artillery,1561,1561,4019,472,2.574631646380525,0.3023702754644459,8.514830508474576,2.2722613709160795,"(np.float64(2.1881170720860412), np.float64(2.3564056697461178))",0.0,3206.598147090807,0.0
Tanks,Drones,1561,1561,4019,815,2.574631646380525,0.5221012171684818,4.931288343558282,2.0525304292120437,"(np.float64(1.9652319875471964), np.float64(2.139828870876891))",0.0,2315.40768252401,0.0
Tanks,Transport,1561,1561,4019,4388,2.574631646380525,2.811018577834721,0.9159070191431176,-0.23638693145419598,"(np.float64(-0.35151300473518704), np.float64(-0.12126085817320492))",5.966325460223511e-05,16.20135041229878,5.695350202616911e-05
Infantry fighting vehicles,Self-propelled artillery,1561,1561,8738,992,5.597693786034593,0.6354900704676489,8.808467741935484,4.962203715566945,"(np.float64(4.838349843538814), np.float64(5.086057587595076))",0.0,7079.444817366832,0.0
Infantry fighting vehicles,Towed artillery,1561,1561,8738,472,5.597693786034593,0.3023702754644459,18.51271186440678,5.295323510570148,"(np.float64(5.1748246380348), np.float64(5.415822383105495))",0.0,9043.698135354776,0.0
Infantry fighting vehicles,Drones,1561,1561,8738,815,5.597693786034593,0.5221012171684818,10.721472392638036,5.075592568866112,"(np.float64(4.952870390048255), np.float64(5.198314747683969))",0.0,7672.748243903037,0.0
Infantry fighting vehicles,Transport,1561,1561,8738,4388,5.597693786034593,2.811018577834721,1.9913400182315408,2.7866752081998722,"(np.float64(2.642822060838435), np.float64(2.9305283555613095))",0.0,1469.2250882603075,0.0
Self-propelled artillery,Towed artillery,1561,1561,992,472,0.6354900704676489,0.3023702754644459,2.101694915254237,0.33311979500320305,"(np.float64(0.28507750431693835), np.float64(0.38116208568946774))",0.0,188.79346236723177,0.0
Self-propelled artillery,Drones,1561,1561,992,815,0.6354900704676489,0.5221012171684818,1.2171779141104293,0.11338885329916715,"(np.float64(0.0600145468784224), np.float64(0.1667631597199119))",3.42179752588212e-05,17.365407779122506,3.0838795849752465e-05
Self-propelled artillery,Transport,1561,1561,992,4388,0.6354900704676489,2.811018577834721,0.2260711030082042,-2.1755285073670723,"(np.float64(-2.26762525767828), np.float64(-2.0834317570558647))",0.0,2315.195136285047,0.0
Towed artillery,Drones,1561,1561,472,815,0.3023702754644459,0.5221012171684818,0.5791411042944785,-0.2197309417040359,"(np.float64(-0.26477551131930577), np.float64(-0.17468637208876606))",8.799777823713892e-22,92.52748938423974,0.0
Towed artillery,Transport,1561,1561,472,4388,0.3023702754644459,2.811018577834721,0.10756608933454878,-2.5086483023702755,"(np.float64(-2.5961811995222277), np.float64(-2.4211154052183232))",0.0,3639.5583657840875,0.0
Drones,Transport,1561,1561,815,4388,0.5221012171684818,2.811018577834721,0.18573381950774842,-2.2889173606662396,"(np.float64(-2.3794864667418008), np.float64(-2.1983482545906785))",0.0,2696.095900666078,0.0
