omitted_week,omitted_week_start,omitted_loss_count,jackknife_rate_per_day
2022-W08,2022-02-24,318,14.511211
2022-W09,2022-02-28,585,14.340167
2022-W10,2022-03-07,295,14.525945
2022-W11,2022-03-14,432,14.438181
2022-W12,2022-03-21,310,14.516336
2022-W13,2022-03-28,746,14.237028
2022-W14,2022-04-04,369,14.478539
2022-W15,2022-04-11,188,14.594491
2022-W16,2022-04-18,128,14.632928
2022-W17,2022-04-25,187,14.595131
2022-W18,2022-05-02,201,14.586163
2022-W19,2022-05-09,222,14.57271
2022-W20,2022-05-16,101,14.650224
2022-W21,2022-05-23,51,14.682255
2022-W22,2022-05-30,134,14.629084
2022-W23,2022-06-06,115,14.641256
2022-W24,2022-06-13,105,14.647662
2022-W25,2022-06-20,81,14.663037
2022-W26,2022-06-27,128,14.632928
2022-W27,2022-07-04,98,14.652146
2022-W28,2022-07-11,61,14.675849
2022-W29,2022-07-18,64,14.673927
2022-W30,2022-07-25,89,14.657912
2022-W31,2022-08-01,63,14.674568
2022-W32,2022-08-08,92,14.65599
2022-W33,2022-08-15,44,14.686739
2022-W34,2022-08-22,85,14.660474
2022-W35,2022-08-29,133,14.629725
2022-W36,2022-09-05,373,14.475977
2022-W37,2022-09-12,406,14.454837
2022-W38,2022-09-19,176,14.602178
2022-W39,2022-09-26,252,14.553491
2022-W40,2022-10-03,289,14.529789
2022-W41,2022-10-10,155,14.615631
2022-W42,2022-10-17,132,14.630365
2022-W43,2022-10-24,132,14.630365
2022-W44,2022-10-31,121,14.637412
2022-W45,2022-11-07,229,14.568225
2022-W46,2022-11-14,127,14.633568
2022-W47,2022-11-21,66,14.672646
2022-W48,2022-11-28,271,14.54132
2022-W49,2022-12-05,73,14.668161
2022-W50,2022-12-12,45,14.686099
2022-W51,2022-12-19,37,14.691224
2022-W52,2022-12-26,89,14.657912
2023-W01,2023-01-02,54,14.680333
2023-W02,2023-01-09,60,14.676489
2023-W03,2023-01-16,50,14.682896
2023-W04,2023-01-23,66,14.672646
2023-W05,2023-01-30,69,14.670724
2023-W06,2023-02-06,113,14.642537
2023-W07,2023-02-13,69,14.670724
2023-W08,2023-02-20,77,14.665599
2023-W09,2023-02-27,142,14.623959
2023-W10,2023-03-06,57,14.678411
2023-W11,2023-03-13,80,14.663677
2023-W12,2023-03-20,86,14.659833
2023-W13,2023-03-27,65,14.673286
2023-W14,2023-04-03,52,14.681614
2023-W15,2023-04-10,43,14.68738
2023-W16,2023-04-17,44,14.686739
2023-W17,2023-04-24,73,14.668161
2023-W18,2023-05-01,57,14.678411
2023-W19,2023-05-08,56,14.679052
2023-W20,2023-05-15,72,14.668802
2023-W21,2023-05-22,73,14.668161
2023-W22,2023-05-29,86,14.659833
2023-W23,2023-06-05,74,14.667521
2023-W24,2023-06-12,98,14.652146
2023-W25,2023-06-19,90,14.657271
2023-W26,2023-06-26,79,14.664318
2023-W27,2023-07-03,92,14.65599
2023-W28,2023-07-10,87,14.659193
2023-W29,2023-07-17,105,14.647662
2023-W30,2023-07-24,93,14.655349
2023-W31,2023-07-31,92,14.65599
2023-W32,2023-08-07,72,14.668802
2023-W33,2023-08-14,87,14.659193
2023-W34,2023-08-21,87,14.659193
2023-W35,2023-08-28,131,14.631006
2023-W36,2023-09-04,105,14.647662
2023-W37,2023-09-11,52,14.681614
2023-W38,2023-09-18,72,14.668802
2023-W39,2023-09-25,98,14.652146
2023-W40,2023-10-02,72,14.668802
2023-W41,2023-10-09,151,14.618193
2023-W42,2023-10-16,145,14.622037
2023-W43,2023-10-23,83,14.661755
